"","PC1","PC17","PC30"
"norank",0.0728040803776011,0.490591779555377,0.384002654647129
"Actinobacteria",0.374568074671914,0.249248489578754,0.308403572733716
"Acidimicrobiia",0.0187139921131486,0.204663491019758,0.280383717936073
"Alphaproteobacteria",0.230757366011271,0.0229302854498439,0.00182305462809078
"Gammaproteobacteria",0.147663567908213,0.0129839818023381,0.0200191224271315
"Phycisphaerae",0.0368389702434067,0.0177681247006178,0.0044909104518049
"Deltaproteobacteria",0.057774629346468,0,0
"Betaproteobacteria",0.0484237086793013,0,0
"Thermomicrobia",0.012455610648677,0.00120840178790498,0.000381889361491309
"Ardenticatenia",0,0.000605446105405793,0.000495077814562809
"Acidobacteriia",0,0,0
